baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.16261699546	5.82549527982183	0.143002105357694	40.7371294656844	0	0
ENSMUSG00000025608.9	4401.56534143098	8.31225124467205	0.197514160176549	42.0843307499681	0	0
ENSMUSG00000045545.8	4088.20795367509	9.12440922214636	0.238751032363286	38.2172555730045	0	0
ENSMUSG00000047586.4	2408.90595432124	7.42296372702489	0.196905099978469	37.6981791118492	0	0
ENSMUSG00000054889.10	6835.16817207395	4.65297604464094	0.114968701036923	40.4716762273117	0	0
ENSMUSG00000097767.8	4106.68367993541	6.59499323483747	0.151467656446944	43.5406039120143	0	0
ENSMUSG00000020758.15	6336.55780644726	4.25979469661366	0.114955618851879	37.0559937753232	1.43798403933701e-300	4.24924283624086e-297
ENSMUSG00000030693.10	1240.44618224981	5.468084236829	0.14832939400056	36.8644682577774	1.71512959369683e-297	4.43468195570238e-294
ENSMUSG00000053797.10	2357.45787895394	7.97906100952965	0.217491494062845	36.6867727122426	1.18699165186937e-294	2.72810247987977e-291
ENSMUSG00000024406.16	2300.51694785208	4.48192689389641	0.123011029428083	36.4351628852655	1.18181593756496e-290	2.44458626685311e-287
ENSMUSG00000037820.15	3906.45060832596	4.02387752533554	0.110658608649834	36.362986797246	1.63818652205858e-289	3.08053529170743e-286
ENSMUSG00000047281.3	1063.6857319918	5.25833382233896	0.149593683420868	35.1507744317326	1.13117602635528e-270	1.94986467542991e-267
ENSMUSG00000056602.12	1176.47053966577	5.38981100209979	0.153512799201791	35.1098477138375	4.76925100595993e-270	7.58861208140624e-267
ENSMUSG00000027375.14	3835.46863740718	5.76191375465856	0.164608026138389	35.0038445258703	1.96634283084982e-268	2.9052715325806e-265
ENSMUSG00000037185.9	1422.64967868084	4.99080683286439	0.143865135461887	34.69087084123	1.08168764786175e-263	1.49164726640136e-260
ENSMUSG00000026413.12	1670.17828531983	5.50790471776236	0.162350772385108	33.9259532729367	2.76061114717238e-252	3.56895259870379e-249
ENSMUSG00000031995.9	1272.04777520555	6.00947549498124	0.1801628428373	33.3557985672341	6.00260717596305e-244	7.30376055498798e-241
ENSMUSG00000019102.10	4252.04060477957	3.75655818951786	0.117383374723446	32.0024722271639	1.00739516650822e-224	1.15766494551236e-221
ENSMUSG00000034282.3	1267.16126187474	6.84026579663904	0.216710467743179	31.5640765666445	1.14943819225308e-218	1.25137521088184e-215
ENSMUSG00000074796.10	890.944055487602	4.27565966513979	0.135818932194569	31.4805866608834	1.6017999889325e-217	1.65666163855343e-214
